"X","Y","LSOA2011"
449119.175,517017.509,"E01012007"
451722.55,517577.735,"E01012085"
448657.056,533984.633,"E01012005"
451977.348,517832.468,"E01012084"
449565.447,533268.699,"E01012002"
451358.335,518098.27,"E01012083"
448588.92,533220.812,"E01012003"
452131.288,517242.906,"E01012082"
451384.704,532333.487,"E01012000"
448925.205,518484.554,"E01012081"
450917.557,531236.678,"E01012001"
449570.794,518703.5,"E01012080"
449238.076,517435.61,"E01012008"
453115.336,519144.107,"E01012089"
448297.95,517314.022,"E01012009"
452193.225,518797.793,"E01012088"
433702.454,517903.046,"E01012366"
428100.263,515376.976,"E01012364"
427651.61,515511.745,"E01012365"
428566.501,515696.435,"E01012362"
428104.69,515676.419,"E01012363"
427969.958,513911.739,"E01012360"
427633.653,513417.401,"E01012361"
423322.541,567963.638,"E01008356"
424425.822,569535.028,"E01008357"
424860.397,568277.723,"E01008354"
424305.053,568281.561,"E01008355"
423765.538,568987.057,"E01008352"
423430.877,568533.91,"E01008353"
420610.16,566223.321,"E01008350"
424902.772,568778.673,"E01008351"
424272.708,569039.581,"E01008358"
427060.73,565687.61,"E01008359"
444854.853,524653.934,"E01012256"
444985.444,524354.781,"E01012257"
443870.333,519549.822,"E01012254"
444673.022,524118.677,"E01012255"
443978.53,520257.825,"E01012252"
443220.043,519909.033,"E01012253"
441902.38,521666.587,"E01012250"
443767.194,520028.101,"E01012251"
445314.842,521048.375,"E01012258"
444880.556,521135.232,"E01012259"
422999.106,561136.289,"E01008206"
429908.866,561869.554,"E01008287"
422673.617,561048.389,"E01008207"
430236.324,561623.514,"E01008286"
426400.956,561703.581,"E01008204"
428886.705,560060.339,"E01008285"
425989.843,561478.992,"E01008205"
429931.631,560809.793,"E01008284"
426964.601,561473.643,"E01008202"
430395.401,561227.7,"E01008283"
425956.606,561861.265,"E01008203"
429250.5,560462.874,"E01008282"
413273.495,563233.841,"E01008200"
429661.067,561052.259,"E01008281"
426562.865,561100.601,"E01008201"
417910.669,562228.618,"E01008280"
422555.061,561621.538,"E01008208"
421310.176,564574.079,"E01008289"
422785.466,562370.365,"E01008209"
420680.282,564671.324,"E01008288"
431837.364,571549.812,"E01008567"
432569.57,572235.285,"E01008564"
430394.377,572131.392,"E01008565"
436419.301,570179.428,"E01008562"
436248.926,569815.698,"E01008563"
436896.676,569590.597,"E01008560"
436053.372,568725.047,"E01008561"
431957.388,571127.009,"E01008568"
431581.54,570910.537,"E01008569"
450161.72,532883.948,"E01011976"
448663.767,529629.105,"E01011977"
451088.803,532999.543,"E01011974"
449861.4,532865.287,"E01011975"
450477.492,532900.67,"E01011973"
448152.951,535899.061,"E01011970"
448236.44,535430.875,"E01011971"
449138.768,529821.955,"E01011978"
449062.218,530177.757,"E01011979"
420104.617,567506.797,"E01008456"
420212.834,567692.786,"E01008457"
422539.835,564872.21,"E01008455"
422415.742,565817.373,"E01008452"
422500.69,565310.563,"E01008453"
422020.538,565749.826,"E01008450"
421580.331,565969.067,"E01008451"
419915.313,569324.115,"E01008458"
420161.756,568237.514,"E01008459"
443774.363,541149.135,"E01020766"
444296.331,541002.15,"E01020767"
443994.998,541236.328,"E01020764"
443504.097,542134.908,"E01020765"
439371.997,540452.645,"E01020762"
437585.918,543148.83,"E01020763"
439085.627,541056.271,"E01020760"
439756.854,540781.7,"E01020761"
444721.992,540694.756,"E01020768"
441489.585,540102.173,"E01020769"
438407.848,556946.738,"E01008706"
440002.947,558348.078,"E01008787"
438487.456,556670.299,"E01008707"
440150.981,558984.213,"E01008786"
438081.634,556945.014,"E01008704"
438727.46,554911.981,"E01008785"
438802.734,556994.548,"E01008705"
439499.317,554945.157,"E01008784"
440492.641,557211.964,"E01008702"
439078.812,555245.903,"E01008783"
440051.454,557232.815,"E01008703"
438314.925,555030.924,"E01008782"
438598.801,557281.39,"E01008700"
438726.521,555589.679,"E01008781"
437761.484,557207.328,"E01008701"
439922.698,554495.764,"E01008780"
439265.321,558615.383,"E01008708"
440631.112,558474.369,"E01008789"
438915.191,558489.805,"E01008709"
439892.288,558741.406,"E01008788"
410395.489,555078.727,"E01020656"
411104.367,553673.113,"E01020657"
416252.326,554413.31,"E01020654"
411944.65,556262.23,"E01020655"
411599.864,550235.365,"E01020652"
415321.919,553448.743,"E01020653"
411735.45,549787.119,"E01020650"
412108.857,549513.242,"E01020651"
421433.204,544891.546,"E01020658"
420972.159,544841.282,"E01020659"
436074.876,566940.001,"E01008667"
436343.083,565923.525,"E01008664"
435950.891,565468.829,"E01008665"
433069.71,563525.143,"E01008662"
433039.919,563994.435,"E01008663"
432555.93,564852.707,"E01008660"
432984.468,564847.036,"E01008661"
436714.653,566227.179,"E01008668"
435191.066,563797.654,"E01008669"
399438.448,654394.947,"E01027376"
399866.397,652972.236,"E01027377"
411101.669,633586.072,"E01027374"
424440.83,605282.496,"E01027372"
400544.434,607333.402,"E01027373"
417728.387,601962.503,"E01027370"
419834.23,608671.812,"E01027371"
399149.192,653906.392,"E01027378"
398509.047,651344.005,"E01027379"
425858.244,582440.072,"E01027516"
427211.137,582903.59,"E01027517"
425860.297,581630.832,"E01027514"
426340.002,581844.894,"E01027515"
368459.264,558289.569,"E01027512"
411616.318,564778.299,"E01027513"
388249.717,567829.065,"E01027510"
385958.595,577095.805,"E01027511"
427242.632,582386.664,"E01027518"
426746.02,582064.217,"E01027519"
393075.015,565864.018,"E01027476"
382577.48,552915.503,"E01027477"
424527.634,593860.706,"E01027474"
424690.885,594018.038,"E01027475"
407730.121,571645.283,"E01027472"
420399.085,580046.342,"E01027473"
414390.646,571292.792,"E01027471"
383782.65,555848.746,"E01027478"
384388.377,583411.755,"E01027479"
440149.762,556656.952,"E01008836"
435540.615,559673.667,"E01008837"
439581.117,556170.358,"E01008834"
438895.959,556112.728,"E01008835"
438425.874,556320.103,"E01008832"
438185.257,556169.258,"E01008833"
438659.92,556250.995,"E01008830"
439227.143,556454.966,"E01008831"
435134.857,559582.549,"E01008838"
436166.846,559346.305,"E01008839"
471979.758,517893.565,"E01012137"
474197.739,518101.137,"E01012134"
467406.824,516190.484,"E01012132"
460543.768,522574.013,"E01012130"
460086.013,523108.912,"E01012131"
461696.525,522398.907,"E01012138"
461828.681,520727.597,"E01012139"
427069.548,515106.014,"E01012347"
434561.005,513338.414,"E01012344"
435490.114,512970.642,"E01012345"
430141.028,514675.038,"E01012342"
430963.546,514418.088,"E01012343"
429787.545,513583.503,"E01012340"
430379.107,513645.229,"E01012341"
426518.424,515022.858,"E01012348"
429111.715,516119.078,"E01012349"
423141.872,568900.772,"E01008336"
422708.591,569149.84,"E01008337"
421932.032,564577.574,"E01008334"
422376.389,564239.993,"E01008335"
422133.085,564267.463,"E01008332"
422762.248,564170.762,"E01008333"
419433.148,565978.885,"E01008330"
423162.659,564144.357,"E01008331"
422304.278,568970.802,"E01008338"
422085.504,568355.267,"E01008339"
444960.856,514658.211,"E01012236"
445103.397,514062.137,"E01012237"
444205.092,512854.728,"E01012234"
442863.833,509954.312,"E01012235"
444480.437,513164.094,"E01012232"
445065.839,512728.573,"E01012233"
444894.281,513439.549,"E01012230"
443811.893,513243.746,"E01012231"
445198.214,517216.861,"E01012238"
445768.768,517248.993,"E01012239"
434731.917,573308.267,"E01008546"
433818.697,573151.395,"E01008547"
432515.5,567026.356,"E01008542"
432191.049,566664.852,"E01008543"
433550.755,567058.289,"E01008540"
434065.308,567375.849,"E01008541"
433403.548,572827.663,"E01008548"
434323.386,573415.305,"E01008549"
450085.575,533470.547,"E01011957"
449174.384,535447.435,"E01011954"
450723.272,533634.052,"E01011955"
449807.108,534601.896,"E01011952"
449890.091,535102.277,"E01011953"
450424.928,531457.404,"E01011950"
450325.37,531785.114,"E01011951"
445595.049,532407.719,"E01011959"
429394.854,565678.006,"E01008436"
422740.432,563633.002,"E01008437"
429059.124,566154.121,"E01008434"
428906.949,565671.54,"E01008435"
428614.631,565085.26,"E01008432"
428513.564,565903.668,"E01008433"
429259.203,564893.714,"E01008430"
428881.441,564933.086,"E01008431"
423543.58,563519.346,"E01008438"
423624.539,563994.893,"E01008439"
443221.555,540145.758,"E01020746"
441241.74,549163.331,"E01020747"
443769.322,540308.69,"E01020744"
443401.221,540610.102,"E01020745"
442968.128,548434.788,"E01020742"
442242.165,548239.251,"E01020743"
442502.515,548952.124,"E01020740"
442928.28,548776.104,"E01020741"
440927.863,549117.13,"E01020748"
441635.629,549073.526,"E01020749"
416607.784,556605.913,"E01020636"
408047.593,548777.057,"E01020637"
417191.88,556877.733,"E01020634"
417924.404,556874.248,"E01020635"
410130.043,551796.018,"E01020632"
418850.976,547967.355,"E01020633"
409043.804,551813.538,"E01020630"
409543.966,551573.167,"E01020631"
416548.267,552094.762,"E01020638"
431075.365,563723.787,"E01008646"
438218.842,565905.349,"E01008647"
431254.713,563234.456,"E01008644"
430583.207,564003.673,"E01008642"
430716.616,563267.925,"E01008643"
430630.338,564696.177,"E01008640"
430939.603,564281.286,"E01008641"
437765.772,566447.312,"E01008648"
439072.363,565298.74,"E01008649"
423470.95,611186.76,"E01027356"
419720.429,612942.265,"E01027357"
419162.505,612501.45,"E01027358"
418056.846,613103.206,"E01027359"
450212.835,533758.803,"E01033466"
448723.1,534863.342,"E01033465"
450011.977,519972.943,"E01033468"
449785.646,518283.498,"E01033469"
418626.459,586482.717,"E01027456"
419882.015,586462.742,"E01027457"
418873.15,585262.856,"E01027455"
420426.708,585741.641,"E01027452"
419744.077,586018.477,"E01027453"
424708.179,562230.48,"E01008170"
461004.727,515978.915,"E01012118"
442296.349,513861.552,"E01012199"
425018.569,562011.833,"E01008171"
449042.089,522362.805,"E01012198"
418311.6,562832.441,"E01008178"
417400.653,562811.03,"E01008179"
451881.971,519218.285,"E01012076"
451215.285,519119.478,"E01012077"
451144.569,518587.601,"E01012074"
451794.368,518542.307,"E01012075"
452946.659,515160.004,"E01012073"
453129.703,514569.344,"E01012071"
448995.69,518994.14,"E01012078"
449396.823,518416.647,"E01012079"
430752.727,516068.804,"E01012326"
