"X","Y","MSOA2011"
445583.305,524174.111,"E02002536"
446778.119,524255.508,"E02002537"
461357.951,515117.478,"E02002534"
446118,525454.53,"E02002535"
461054.231,516173.954,"E02002532"
460441.191,515184.603,"E02002533"
467899.719,516467.248,"E02002530"
445937.454,522569.752,"E02002538"
441759.053,523672.172,"E02002539"
427329.441,582644.808,"E02005740"
425331.989,582201.773,"E02005741"
422514.659,564177.838,"E02001736"
428869.475,563713.486,"E02001737"
421344.084,564317.721,"E02001734"
428388.498,564274.707,"E02001735"
420084.45,564832.502,"E02001732"
427576.671,564481.324,"E02001733"
425858.44,564819.242,"E02001730"
424140.314,564469.058,"E02001731"
434068.006,573343.957,"E02001738"
426612.011,573575.837,"E02001739"
418498.897,527022.363,"E02004354"
420427.526,528011.836,"E02004355"
422080.546,529107.391,"E02004352"
420442.708,528901.256,"E02004353"
416826.771,535569.88,"E02004350"
420331.433,534520.439,"E02004351"
450128.453,517680.086,"E02002506"
448735.928,517181.581,"E02002507"
448473.431,518208.825,"E02002504"
451803.158,517689.697,"E02002505"
452964.279,518333.413,"E02002502"
447700.92,518213.191,"E02002503"
449202.225,518620.086,"E02002500"
450197.059,518636.649,"E02002501"
448106.378,516516.964,"E02002508"
450864.445,516440.79,"E02002509"
427017.199,556705.599,"E02001706"
433189.183,562214.952,"E02001787"
427773.275,554985.865,"E02001707"
436670.754,563026.71,"E02001786"
426511.342,558841.802,"E02001704"
440495.775,562787.676,"E02001785"
412503.45,558337.498,"E02001705"
433057.615,563315.394,"E02001784"
427565.321,559451.743,"E02001702"
435577.872,563278.62,"E02001783"
416346.024,558942.837,"E02001703"
431475.236,563408.243,"E02001782"
422020.599,560048.649,"E02001700"
434449.476,563495.017,"E02001781"
425715.152,559544.752,"E02001701"
438132.922,564011.131,"E02001780"
421655.417,569621.486,"E02001708"
437802.176,561979.228,"E02001789"
424053.806,569868.085,"E02001709"
434440.438,561992.812,"E02001788"
425931.9,561870.668,"E02006842"
426030.368,562803.055,"E02006841"
439217.42,540962.047,"E02004326"
444167.664,541058.292,"E02004327"
442536.546,543902.248,"E02004324"
443076.326,541559.99,"E02004325"
441093.883,548809.916,"E02004322"
439002.32,546666.828,"E02004323"
440808.664,549686.772,"E02004320"
442616.997,549046.378,"E02004321"
442011.443,541202.686,"E02004328"
442102.953,539718.488,"E02004329"
459920.146,524109.342,"E02002516"
458877.615,523916.169,"E02002517"
450851.905,514259.717,"E02002514"
460476.169,524913.407,"E02002515"
452144.761,514651.089,"E02002512"
449030.41,514426.284,"E02002513"
448012.972,515694.067,"E02002510"
461373.392,523612.964,"E02002518"
460051.857,522853.124,"E02002519"
414395.479,570542.157,"E02005726"
385506.633,582881.467,"E02005727"
416250.199,572769.93,"E02005725"
417133.465,585762.116,"E02005722"
419995.382,585603.249,"E02005723"
426003.3,593797.142,"E02005720"
422202.404,587326.002,"E02005721"
430269.929,558562.946,"E02001797"
440176.078,558511.158,"E02001796"
426798.328,567573.088,"E02001714"
438870.327,558608.15,"E02001795"
422301.841,567394.802,"E02001715"
437241.028,559198.105,"E02001794"
424999.129,567987.483,"E02001712"
435359.42,559475.046,"E02001793"
423733.111,567807.374,"E02001713"
440157.496,559653.053,"E02001792"
422666.777,568788.011,"E02001710"
439406.94,559901.946,"E02001791"
370418.717,564054.331,"E02005728"
420113.314,568083.99,"E02001711"
435931.437,561411.671,"E02001790"
408773.774,563988.194,"E02005729"
421014.171,566932.64,"E02001718"
430646.606,557893.934,"E02001799"
427138.323,566655.961,"E02001719"
435281.676,558478.736,"E02001798"
448492.068,532003.938,"E02006909"
429605.989,532951.552,"E02004336"
425003.49,533068.532,"E02004337"
436832.581,533800.103,"E02004334"
427032.446,533908.993,"E02004335"
440322.636,537584.388,"E02004332"
425862.978,534639.753,"E02004333"
445699.811,539413.745,"E02004330"
437326.35,538739.866,"E02004331"
428960.38,529977.825,"E02004338"
435464.573,529207.446,"E02004339"
429031.264,587057.921,"E02005736"
426811.097,587111.862,"E02005737"
430824.569,587878.382,"E02005734"
427937.713,587489.819,"E02005735"
385904.736,563207.993,"E02005733"
393244.177,563877.197,"E02005730"
409646.034,562929.535,"E02005731"
427992.268,586465.431,"E02005738"
426070.747,585422.983,"E02005739"
454139.758,519212.678,"E02006910"
435783.241,546369.497,"E02001826"
434321.874,549469.747,"E02001824"
435151.378,547823.827,"E02001825"
433405.609,552170.015,"E02001822"
432597.586,550080.033,"E02001823"
432368.111,552671.771,"E02001820"
438257.425,552236.141,"E02001821"
416828.95,547427.667,"E02004306"
420738.132,544742.499,"E02004307"
411916.333,550113.695,"E02004304"
409113.763,550222.652,"E02004305"
418576.47,551793.716,"E02004302"
410915.256,551249.092,"E02004303"
416522.408,552338.665,"E02004300"
420182.018,552154.234,"E02004301"
427871.285,545264.915,"E02004308"
426745.019,544665.835,"E02004309"
428687.448,515081.064,"E02002566"
430536.942,514910.336,"E02002567"
427046.245,516056.457,"E02002564"
428128.811,515542.795,"E02002565"
429169.815,516371.565,"E02002562"
430629.522,516257.537,"E02002563"
429302.736,517327.614,"E02002560"
430829.967,517007.145,"E02002561"
427904.724,514433.304,"E02002568"
426832.484,514550.767,"E02002569"
450359.326,532895.632,"E02002487"
449995.166,533705.046,"E02002485"
450984.908,534514.744,"E02002484"
448705.6,535398.499,"E02002483"
450416.854,532114.851,"E02002489"
449515.012,532799.825,"E02002488"
430410.049,566795.917,"E02001766"
429573.826,566608.247,"E02001767"
434671.573,567432.36,"E02001764"
431933.741,566934.468,"E02001765"
428904.135,567883.338,"E02001762"
432147.518,567649.849,"E02001763"
434019.216,568176.134,"E02001760"
430351.229,568050.891,"E02001761"
436820.227,567235.159,"E02001768"
436303.623,566067.264,"E02001769"
399666.759,652313.183,"E02005706"
398736.896,651160.241,"E02005707"
425855.614,604275.798,"E02005704"
405913.336,602020.303,"E02005705"
423485.823,614975.972,"E02005702"
418583.158,612904.412,"E02005703"
408058.562,631735.47,"E02005708"
429669.326,581549.623,"E02005709"
418021.923,562397.713,"E02001685"
428810.029,562350.165,"E02001684"
413734.575,563329.927,"E02001683"
415758.883,564062.012,"E02001682"
424926.198,562175.027,"E02001689"
423538.02,562253.793,"E02001688"
419451.357,541843.574,"E02004316"
423650.782,539589.73,"E02004317"
427473.702,542030.335,"E02004314"
426275.88,541915.296,"E02004315"
430565.465,543636.391,"E02004312"
429047.834,542818.939,"E02004313"
423563.316,543296.472,"E02004310"
432476.325,543167.43,"E02004311"
430537.482,538330.37,"E02004318"
432354.613,535963.453,"E02004319"
429062.291,513456.352,"E02002572"
434118.797,512972.079,"E02002573"
429955.612,513853.647,"E02002570"
430718.858,513388.684,"E02002571"
451807.085,519617.658,"E02002497"
449906.848,519679.041,"E02002496"
448965.844,529634.17,"E02002494"
452080.811,529788.138,"E02002493"
450154.889,529903.698,"E02002492"
449325.864,530951.091,"E02002491"
450560.227,531267.648,"E02002490"
451694.507,518843.066,"E02002499"
448778.81,519505.837,"E02002498"
431794.662,564802.525,"E02001776"
430710.295,564481.578,"E02001777"
432898.351,565062.957,"E02001774"
438589.821,564869.108,"E02001775"
436808.063,565159.146,"E02001772"
437779.576,565093.37,"E02001773"
437141.428,566163.583,"E02001770"
438497.358,565680.445,"E02001771"
436200.032,564494.683,"E02001778"
435034.061,564187.968,"E02001779"
427232.266,577137.037,"E02005716"
431771.234,575812.145,"E02005717"
426687.304,578479.123,"E02005714"
426121.222,576974.752,"E02005715"
429745.782,580195.943,"E02005712"
431080.518,579760.24,"E02005713"
431389.031,581137.898,"E02005710"
430474.809,580789.047,"E02005711"
426769.141,575649.805,"E02005718"
429967.31,575114.239,"E02005719"
426253.062,560433.516,"E02001697"
429164.718,561106.812,"E02001696"
430126.913,561494.231,"E02001695"
422813.055,561379.371,"E02001694"
427659.487,561472.006,"E02001693"
426642.053,561562.978,"E02001692"
425250.659,561644.375,"E02001691"
420568.454,561696.17,"E02001690"
428234.008,560347.45,"E02001699"
420222.599,560356.918,"E02001698"
440311.987,556123.494,"E02001806"
431811.913,556213.388,"E02001807"
435767.699,556452.085,"E02001804"
437467.834,556226.012,"E02001805"
436851.301,556780.742,"E02001802"
439316.394,556635.287,"E02001803"
429668.316,556967.259,"E02001800"
438204.03,556926.426,"E02001801"
438293.312,556214.329,"E02001808"
430684.703,555970.465,"E02001809"
443639.137,519855.259,"E02002546"
442223.04,519526.502,"E02002547"
444758.968,520891.764,"E02002544"
441352.44,520120.088,"E02002545"
442972.355,521467.361,"E02002542"
441909.38,521112.882,"E02002543"
443840.024,522326.798,"E02002540"
444498.361,521741.33,"E02002541"
444136.419,518542.092,"E02002548"
441417.908,518744.697,"E02002549"
434567.132,571634.728,"E02001746"
435877.996,571067.767,"E02001747"
432011.805,571846.932,"E02001744"
427311.539,571788.136,"E02001745"
433809.293,572045.148,"E02001742"
435723.106,571956.936,"E02001743"
434813.247,572862.365,"E02001740"
423885.098,572751.436,"E02001741"
431266.782,570932.173,"E02001748"
428382.868,570977.261,"E02001749"
437059.293,553623.898,"E02001816"
438486.137,553230.19,"E02001817"
440486.791,554660.726,"E02001814"
430185.707,554189.098,"E02001815"
439014.253,555280.789,"E02001812"
437018.994,554720.564,"E02001813"
429321.201,555542.465,"E02001810"
453611.545,516758.068,"E02006812"
418820.181,567257.355,"E02006893"
435765.063,555279.357,"E02001811"
452745.46,515221.983,"E02006811"
440587.51,553070.17,"E02001818"
436446.067,552904.087,"E02001819"
444928.711,513888.058,"E02002556"
443966.039,513768.25,"E02002557"
445711.387,515389.703,"E02002554"
441885.659,514283.745,"E02002555"
445906.364,517065.773,"E02002552"
445431.385,516356.005,"E02002553"
442937.056,518314.412,"E02002550"
445374.736,517815.006,"E02002551"
442242.625,511714.249,"E02002558"
427004.964,517302.263,"E02002559"
426556.38,568881.118,"E02001756"
434293.393,568927.773,"E02001757"
435569.886,569277.346,"E02001754"
428464.55,569459.083,"E02001755"
433264.422,569681.191,"E02001752"
436604.96,569443.224,"E02001753"
434872.036,570299.565,"E02001750"
427676.661,570067.019,"E02001751"
431265.088,568807.677,"E02001758"
435203.759,568580.024,"E02001759"
417125.891,556163.654,"E02004297"
424271.805,547435.037,"E02004296"
430335.846,550130.249,"E02004295"
426822.94,550392.395,"E02004294"
426530.879,551119.914,"E02004293"
427220.175,552363.168,"E02004292"
424985.737,553127.132,"E02004291"
425484.533,554511.373,"E02004290"
419927.412,553401.33,"E02004299"
410017.973,553105.686,"E02004298"
466333.477,519073.997,"E02002526"
471555.087,518512.148,"E02002527"
468689.541,519770.67,"E02002524"
455772.886,518855.949,"E02002525"
455310.964,519850.258,"E02002523"
463079.189,522099.519,"E02002520"
466139.614,521187.318,"E02002521"
454812.262,517768.966,"E02002529"
421263.222,565475.361,"E02001726"
429018.386,565595.056,"E02001727"
425732.914,565832.941,"E02001724"
427184.628,565663.297,"E02001725"
419246.428,566272.592,"E02001722"
421841.331,565988.043,"E02001723"
425268.125,566605.304,"E02001720"
416163.611,566467.343,"E02001721"
418668.799,565197.029,"E02001728"
423122.002,564835.493,"E02001729"
399109.202,521705.443,"E02004346"
405253.991,516732.414,"E02004347"
427417.688,524675.58,"E02004344"
413736.285,524267.506,"E02004345"
426849.094,525376.007,"E02004342"
428353.858,525138.494,"E02004343"
423096.578,526285.165,"E02004340"
426990.926,526184.644,"E02004341"
401614.496,538168.245,"E02004348"
415852.812,535660.779,"E02004349"
419680.715,585022.311,"E02005724"
401467.404,562025.66,"E02005732"
417682.266,562796.525,"E02001686"
388392.269,439603.765,"E02005246"
385327.097,439187.48,"E02005247"
388555.643,440445.955,"E02005244"
390628.44,440186.641,"E02005245"
390615.842,446353.779,"E02005242"
389519.051,440523.827,"E02005243"
387757.62,447183.258,"E02005240"
387803.288,446520.66,"E02005241"
396118.533,399186.123,"E02001236"
397513.544,399040.582,"E02001237"
394072.489,400166.866,"E02001234"
394849.341,399212.438,"E02001235"
395155.742,400203.903,"E02001232"
392952.23,400160.089,"E02001233"
394112.915,401091.222,"E02001230"
386402.907,438459.687,"E02005248"
398202.935,400715.914,"E02001231"
386677.462,437708.051,"E02005249"
391078.268,398792.47,"E02001238"
390107.218,398734.088,"E02001239"
332249.24,438970.915,"E02002636"
